ID,Campaign ID,Row_Counter,Name,Target,Status,Developer/Reseacher,Format,Derivation,Discovery platform,Country,Anticipated Next Steps Timing,Descriptions,References,last updated,Name of person who updated the record
86,76,1,Convalescent plasma,SARS-CoV-2,,China National Biotec Group Company Limited/ Wuhan Institute of Biological Products Co. Ltd,polyconal Ab,Human,,China,,,1. https://www.pnas.org/content/117/17/9490,5/18/2020,B.L
87,77,1,Recombinant anti-coronavirus 19 hyperimmune gammaglobulin,SARS-CoV-2,Preclinical,GigaGen,polyconal Ab,Human,,USA,,"GigaGen uses its leading single cell technology to capture and recreate complete libraries of antibodies from COVID-19 convalescent patients that can directly translate into antibody therapies. This method is much more scalable than plasma-based methods, since one person’s B cell repertoire can be used to generate a drug that treats millions of patients.",1. https://www.globenewswire.com/news-release/2020/03/30/2008438/0/en/GigaGen-Initiates-Development-of-Recombinant-Polyclonal-Antibody-Therapy-for-COVID-19.html 2. https://www.fiercebiotech.com/biotech/gigagen-jumps-into-covid-19-arena-polyclonal-antibodies,,
51,41,1,Anti-SARS-CoV-2 program,SARS-CoV-2,Preclinical,Xbiotech,polyconal Ab,Human,,USA,,"April 03, 2020 I XBiotech Inc. and BioBridge Global announced their collaboration to participate in a U.S. Food and Drug Administration (FDA) investigational program for U.S. blood centers to begin collecting and distributing convalescent plasma from individuals who have recovered from COVID-19. Plasma collected from these donors by the South Texas Blood & Tissue Center (STBTC), which also is a subsidiary of BioBridge Global, could be used to treat patients with serious and/or life-threatening COVID-19 infections. STBTC will, in return, provide blood samples to XBiotech to enable the development of a candidate True Human™ antibody therapy for the disease. XBiotech's True Human™ antibodies are the only available antibodies derived without modification from humans who possess natural immunity to certain diseases. (Unlike all commercially available antibodies, which are called “Humanized” or “Fully Human”, XBiotech’s True Human™ antibodies are directly sourced from the natural human immune response for specific diseases without modification, and thereby have not been shown to cause immunogenicity.)",http://investors.xbiotech.com/news-releases/news-release-details/xbiotech-and-biobridge-global-collaborate-fda-program-develop,5/18/2020,X.X
88,78,1,CD24Fc,CD24,Phase 3,OncoImmune,Fc fusion protein,,,USA,,,1. https://pipelinereview.com/index.php/2020042274389/Antibodies/OncoImmune-Starts-Phase-III-Clinical-Trial-Testing-the-Power-of-Dampening-Inflammation-to-Virus-induced-Cellular-Injury-in-Severe-COVID-19-Patients.html,5/17/2020,B.L
89,79,1,"STI-4398, COVIDTRAP",SARS-CoV-2,Preclinical,Sorrento Therapeutics,Fc fusion protein,,,USA,ASAP after regulatory approvals,"STI-4398 is in the cGMP cell line development stage and could be ready for large-scale production in Sorrento’s cGMP facilities in San Diego for human clinical trials and commercialization upon receipt of requisite regulatory approvals. STI-4398 is a proprietary ACE2 (angiotensin-converting enzyme 2)-Fc fusion protein (COVIDTRAP). The STI-4398 protein binds to the S1 domain of the spike protein, which is expected to block the spike protein of the SARS-CoV-2 virus to bind the ACE2 receptors present on the target respiratory epithelial cells. Without the ability to penetrate target cells, the SARS-CoV-2 virus cannot replicate and spread itself. By interfering with the viral infection cycle, STI-4398 might be the most effective way to prevent an infection to progress to a fully advanced COVID-19 disease.","https://www.biospace.com/article/releases/sorrento-develops-sti-4398-covidtrap-protein-for-potential-prevention-and-treatment-of-sars-cov-2-coronavirus-disease-covid-19-/
  https://www.biospace.com/article/biopharma-update-on-the-novel-coronavirus-april-23/?keywords=covid19
  https://www.biospace.com/article/releases/arch-biopartners-submits-application-to-health-canada-to-conduct-covid19-phase-ii-human-trial-for-metablok-to-prevent-lung-and-kidney-inflammation/?keywords=covid19
  https://www.biospace.com/article/using-ai-to-find-peptide-therapeutics-for-covid-19/?keywords=covid19",5/18/2020,X.X
90,80,1,IFX-1 (BDB-001),C5a,Phase 2/3,Staidson/InflaRx/Beijing Defengrei Biotechnology Co. Ltd.,mAb,,,China/Germany,,,1. https://clinicaltrials.gov/ct2/show/NCT04333420 2. https://www.inflarx.de/Home/Investors/Press-Releases/03-2020-InflaRx-Doses-First-Patient-in-Multicenter-Randomized-Clinical-Trial-in-Severe-Progressed-COVID-19-Pneumonia-in-Europe-upon-Receipt-of-Initial-Positive-Human-Data-with-InflaRx-s-anti-C5a-Technology.html,5/17/2020,B.L
91,81,1,Eculizumab,C5,Phase 2,"Alexion, Hudson Medical, Assistance Publique - Hôpitaux de Paris",mAb,Humanized Ab with mouse CDRs,mouse immunization,USA/France,,"NCT04346797 Phase 2 study sponsored by Assistance Publique - Hôpitaux de Paris. NCT04355494 study sponsored by Alexion. 
 For NCT04288713, An Emergency FDA IND must be submitted (FDA form 3926) for each patient. Subsequent to approval the primary investigator will obtain an authorization letter from Alexion Pharmaceuticals.",1. https://ir.alexion.com/news-releases/news-release-details/alexion-statement-solirisr-eculizumab-and-covid-19?_ga=2.147626548.2098111125.1589766151-90089888.1589766151; 2. https://clinicaltrials.gov/ct2/show/NCT04288713; 3. https://clinicaltrials.gov/ct2/show/NCT04346797; 4. https://clinicaltrials.gov/ct2/show/NCT04355494,5/17/2020,X.X
92,82,1,TJM2 (TJ003234),GM-CSF,Phase 1/2,I-MAB,mAb,,,USA/South Korea,,,1. http://www.i-mabbiopharma.com/en/article-517.aspx 2. http://www.i-mabbiopharma.com/en/article-491.aspx,5/17/2020,B.L
93,83,1,LY3127804,Ang-2,Phase 2 pending,Eli Lilly,mAb,,,USA,,"LY3127804 is an investigational selective monoclonal antibody against Angiopoietin 2 (Ang2). Lilly is advancing to Phase 2 testing in pneumonia patients hospitalized with COVID-19 who are at a higher risk of progressing to acute respiratory distress syndrome (ARDS). Ang2 is known to be elevated in ARDS patients and Lilly will test whether inhibiting the effects of Ang2 with a monoclonal antibody can reduce the progression to ARDS or the need for mechanical ventilation in COVID-19 patients. Angiopoietin2 (Ang-2) is a secreted glycoprotein that plays a complex role in angiogenesis and inflammation. 
 
 NCT04342897 is a Phase 2 Randomized, Double-blind, Placebo-controlled, Clinical Trial of LY3127804 in Patients Who Are Hospitalized With Pneumonia and Presumed or Confirmed COVID-19.",1. https://investor.lilly.com/news-releases/news-release-details/lilly-begins-clinical-testing-therapies-covid-19; 2. https://clinicaltrials.gov/ct2/show/NCT04342897,5/17/2020,X.X
94,84,1,SI-F019,ACE2,Preclinical,"Systimmune, Inc.",Fc fusion protein,,,USA,,"The SI-F019 protein incorporates the natural receptor for the virus that causes CoVID-19 disease, angiotensin-converting enzyme 2 (ACE2), as a means of neutralizing viral binding to cells lining the lungs and gastrointestinal tract, therefore blocking viral infection. Video showing MoA available at: https://www.youtube.com/watch?v=Y9aMxmZbM3I
 SI-F019 is specifically designed to mimic the naturally occurring human ACE2 protein target of CoVID19 and act as a neutralizing decoy. A bivalent architecture combined with the natural high affinity of CoVID-19 spike protein for this target is designed to synergistically out-compete viral adhesion to epithelial cells and reduce overall infection and disease severity. SI-F019 fusion technology comprises an Immunoglobulin Fc domain which provides both dimerization and half-life extension properties. Importantly, this domain has been engineered to eliminate immune activation which could lead to undesirable outcomes in some patients.",https://www.biospace.com/article/systimmune-inc-announces-si-f019-as-a-blocker-of-viral-entry-against-sarscov-2-with-reduced-inflammatory-risk-/,5/17/2020,X.X
95,85,1,TZLS-501 (NI-1201),IL-6R,Preclinical,Tiziana Life Sciences/NovImmune,mAb,Human,,USA,,"and rapidly depletes circulating levels of IL-6 in blood. Excessive production of IL-6 is regarded as a key driver of chronic inflammation and is believed to be associated with severe lung damage observed with COVID-19 infections and acute respiratory illness.China’s National Health Commission has recommended the use of anti-IL6-R mAbs for treatment of inflammation and elevated cytokine levels (“cytokine storm”) in COVID-19 patients. A recent study also reported that COVID-19 infection caused clusters of severe respiratory illness like ARDS. 
 
 Tiziana Life Sciences says it has developed an investigational new technology that it hopes will ultimately be used to treat COVID-19 infections. This technology enables direct delivery of anti-IL-6 receptor (anti-IL-6R) monoclonal antibodies (mAbs) into the lungs using a handheld inhaler or nebuliser.",1. https://www.tizianalifesciences.com/our-drugs/anti-il-6r/; 2. https://www.tizianalifesciences.com/news-item?s=2020-04-09-tiziana-life-sciences-develops-novel-investigational-treatment-for-patients-infected-with-covid-19-utilizing-direct-delivery-of-anti-interlukin-6-receptor-monoclonal-antibodies,5/17/2020,X.X
96,86,1,REGN3048-3051,MERS-CoV,Preclinical,"Regeneron Pharmaceuticals, Inc.",mAb cocktail,Humanized mouse; Human,Humanized mouse; single B cell cloning,USA,,"No studies listed on clinicaltrials.gov as of April 29, 2020
 NCT03301090 Phase I Trial to Evaluate the Safety, Tolerability, Pharmacokinetics and Immunogenicity of Co-administered MERS-CoV Antibodies REGN3048 and REGN3051 vs. Placebo in Healthy Adults started in Feb 2018 was completed in Jan 2019.
 
 Regeneron's REGN3048 and REGN3051 are neutralizing monoclonal antibodies leverage Regeneron’s monoclonal antibody discovery platform, VelocImmune®. Regeneron hopes to have the combination therapy available for human testing by summer 2020.",,5/17/2020,X.X
97,87,1,ALT-100,Nicotinamide phosphoribosyltransferase (NAMPT),Preclinical,Aqualung Therapeutics / Fusion Antibodies,mAb,,,,,"March 18, 2020 / Aqualung Therapeutics Corporation is developing ALT-100, a therapeutic monoclonal antibody, to combat serious unchecked inflammation. The initial application aims to reduce the mortality of Acute Respiratory Distress Syndrome (ARDS) and Ventilator-Induced Lung Injury (VILI). Aqualung Therapeutics has worked collaboratively with Fusion Antibodies. The humanized antibody has been developed and optimized by Fusion Antibodies’ revolutionary CDRx humanization and ADD developability platforms. 
 
 Aqualung Therapeutics Corporation has developed a monoclonal antibody (mAb), known as ALT-100. ALT-100 is designed to address and prevent the development of “unchecked inflammation” in a number of severe inflammatory diseases. The target, NAMPT, works to amplify unchecked inflammation by binding a key and powerful inflammatory receptor called Toll-like Receptor 4 (TLR4). Monoclonal antibody ALT-100 inhibits extracellular NAMPT binding to TLR4. In preclinical models, NAMPT neutralizing antibodies or inhibitors attenuated various inflammatory lung disorders such as Acute Respiratory Distress Syndrome, Sepsis, Ventilator Induced Lung Injury and pulmonary hypertension.",1. https://apnews.com/ACCESSWIRE/25d5918326f55ac178fe90e04a70c34e; 2. https://www.technologynetworks.com/biopharma/blog/antibody-to-treat-lung-inflammation-may-offer-potential-in-covid-19-332369,5/17/2020,X.X
98,88,1,Camrelizumab,PD-1,Phase 2,Jiangsu HengRui Medicine Co./Southeast University/Wuhan Jinyintan Hospital,mAb,,,China,,NCT04268537/ChiCTR2000029806 is a Phase 2 study of Immunoregulatory Therapy for 2019-nCoV-induced Severe Pneumonia Patients,,5/18/2020,L.Y
99,89,1,NI-0101,TLR,Preclinical,"Edesa Biotech, Light Chain Bioscience",,,,,,"April 20, 2020 / Edesa Biotech, Inc. announced a strategic agreement with Light Chain Bioscience (a brand of NovImmune SA), a leading Swiss pharmaceutical development company, for an exclusive worldwide license to develop and commercialize two Phase 2-ready biologic drug candidates for all therapeutic, prophylactic and diagnostic applications.
  The monoclonal antibodies licensed from Light Chain Bioscience block certain signaling proteins, known as TLR4 and CXCL10. These molecules are associated with a broad range of diseases, including infectious diseases. Edesa plans to pursue the development of these signaling molecules as potential treatments for acute respiratory distress syndrome and lung injury resulting from viral respiratory infections, such as the coronavirus that causes COVID-19, and other disorders. anti-toll-like receptor 4 (TLR4) monoclonal antibody is NI-0101",https://www.lightchainbio.com/news/edesa-biotech-and-light-chain-bioscience-sign-license-agreement-to-develop-treatments-for-covid-19-pneumonia-and-other-disorders.html,5/18/2020,
100,90,1,Pritumumab,Vimentin,Preclinical,"Nascent Biotech, Inc.",mAb,,,,,"The Company has initiated tests to assess the possibility that its lead asset, the monoclonal antibody Pritumumab (PTB) could be used as a potential therapy against the novel coronavirus, or SARS-CoV-2, which has caused a global pandemic (COVID-19). As specifically mentioned in a 2016 article in The Journal of Biological Medicine (Yu et al. Journal of Biomedical Science (2016) 23:14 DOI 10.1186/s12929-016-0234-7), cell-surface vimentin (recognized by PTB), is implicated in the entry of SARS-CoV-2, into the cells it infects. The Company has engaged independent third party consultants to conduct the tests and initial results are forthcoming. An article in The Journal of Biological Medicine (Yu et al. Journal of Biomedical Science (2016) 23:14 DOI 10.1186/s12929-016-0234-7) specifically mentioned cell surface vimentin as a potential target in the treatment of conditions related to the Coronavirus. The plan is to test the ability of Pritumumab to interfere with the virus’ binding to its target cells, thus ameliorating – and possibly eliminating – the potential deadly effects. Nascent is committed to changing patient expectations in this debilitating disease and exploring Pritumumab’s ability to fight Covid-19",https://www.biospace.com/article/releases/nascent-biotech-provides-shareholder-update-on-covid-19-therapy-and-brain-cancer-trials/,5/18/2020,
101,91,1,Neutralizing antibody,4-1bb,Preclinical,Eutilex,mAb,,,South Korea,,Plan to develop 4-1bb agonist mAbs,http://www.koreabiomed.com/news/articleView.html?idxno=7650,5/18/2020,
102,92,1,NI-0801,CXCL10,Preclinical,"Edesa Biotech, Light Chain Bioscience",,,,,,"April 20, 2020 / Edesa Biotech, Inc. announced a strategic agreement with Light Chain Bioscience (a brand of NovImmune SA), a leading Swiss pharmaceutical development company, for an exclusive worldwide license to develop and commercialize two Phase 2-ready biologic drug candidates for all therapeutic, prophylactic and diagnostic applications.
  The monoclonal antibodies licensed from Light Chain Bioscience block certain signaling proteins, known as TLR4 and CXCL10. These molecules are associated with a broad range of diseases, including infectious diseases. Edesa plans to pursue the development of these signaling molecules as potential treatments for acute respiratory distress syndrome and lung injury resulting from viral respiratory infections, such as the coronavirus that causes COVID-19, and other disorders. anti-CXCL10 antibody is NI-0801",https://www.lightchainbio.com/news/edesa-biotech-and-light-chain-bioscience-sign-license-agreement-to-develop-treatments-for-covid-19-pneumonia-and-other-disorders.html,5/18/2020,
103,93,1,Namilumab (IZN-101),GM-CSF,Clinical,Izana Bioscience,mAb,,,,,"April 6, 2020: Izana Bioscience announced the initiation of a two-centre compassionate use study involving namilumab (IZN-101) in the treatment of patients with rapidly worsening COVID-19 in cooperation with the Humanitas research group, under the leadership of the head of the Rheumatology and Clinical Immunology Unit at Humanitas Research Hospital and Associate Professor of Internal Medicine at Humanitas University. The study will take place in Italy.",https://izanabio.com/initiation-of-two-centre-compassionate-use-study-involving-namilumab-in-the-treatment-of-individual-patients-with-rapidly-worsening-covid-19-infection-in-italy/,5/18/2020,
104,94,1,hzVSFv13,Vimentin? Target is on cell surface.,Phase 1,ImmuneMed,,,,,,"On March 3, 2020, ImmuneMed said the company and Seoul National University Hospital (SNUH) have won the government’s approval for Virus Suppressing Factor (VSF) as the treatment for new coronavirus patients, and are administering it on some subjects.The Ministry of Food and Drug Safety (South Korea) gave the go-ahead to SNUH’s request for using ImmuneMed’s VSF on COVID-19 patients on Feb 21. 
  Immunemed is developing chimeric humanized virus suppressing factor (chVSF; HzVSF; hzVSF-v13), an IgG4 monoclonal antibody with antiviral and anti-inflammatory effects, for the potential intravenous treatment of viral infection. VSF = viral suppressing factor. Descriptions of the target are not detailed",http://www.koreabiomed.com/news/articleView.html?idxno=7596,5/18/2020,
105,95,1,IC14,CD14,Phase 1/2,Implicit Bioscience,,,,,,"NCT04346277 is a Compassionate Use Open-Label study of Anti-CD14 Treatment in Patients With SARS-CoV-2 (COVID-19). 
  IC 14 originated at ICOS Corporation, which was later acquired by Eli Lilly. Implicit Bioscience has licensed IC 14 from Eli Lilly. IC14 is a chimeric monoclonal antibody that binds to CD14 with high affinity and inhibits signaling via membrane and soluble CD14. Blocking CD14 with IC14 treatment in normal volunteers strongly inhibits systemic inflammation in response to bacterial endotoxin (LPS) (A. Verbon et al. J Immunol 2001 Mar 1;166(5):3599-605. doi: 10.4049/jimmunol.166.5.3599.). Implicit Bioscience conducted a small NIH-funded pilot trial of IC14 treatment in 13 patients with ARDS, which suggested that IC14 treatment reduced alveolar inflammation and decreased BAL cytokines. IC14 was also the subject of IND 105803 for a phase 2 study of ARDS from all causes which the company proposes to revise for the COVID-19 indication.",,5/18/2020,
106,96,1,Meplazumab,CD147,Phase 1/2,Tang-Du Hospital,mAb,,,,,"NCT04275245 is a Phase 1/2 Clinical Study of Anti-CD147 Humanized Meplazumab for Injection to Treat With 2019-nCoV Pneumonia CD147, also known as extracellular matrix metalloproteinase inducer (EMMPRIN), is a transmembrane protein that belongs to the immunoglobulin superfamily. In normal tissue, CD147 expression is low, but its expression is increased in multiple solid tumors.",,5/18/2020,
107,97,1,Mavrilimumab,GM-CSF receptor,Phase 1/2,Kiniksa Pharmaceuticals,mAb,,,,,"April 29, 2020: Kiniksa recently announced evidence of treatment response with mavrilimumab from an open-label treatment protocol in 6 non-mechanically ventilated patients with severe COVID-19 pneumonia and hyperinflammation in Italy1. All 6 of these patients showed an early resolution of fever and improvement in oxygenation within 1-3 days, none of the patients progressed to require mechanical ventilation, and 3 of the patients were discharged from the hospital within 5 days. Mavrilimumab was well-tolerated.
  An additional 7 non-mechanically ventilated patients with COVID-19 pneumonia and hyperinflammation have since been treated with mavrilimumab. The results from these patients are consistent with the first 6 patients treated. One of the 7 patients was electively intubated and subsequently returned to low-level supplemental oxygen. All 13 patients improved clinically, and 12 out of 13 patients returned home.
  Kiniksa has engaged with the U.S. Food and Drug Administration (FDA) and is preparing for a potential registrational development program for mavrilimumab in COVID-19 pneumonia and hyperinflammation. In parallel, academic investigators in the U.S. and Italy are planning investigator-initiated placebo-controlled studies.
  
  March 31, 2020, Kiniksa Pharmaceuticals announced early evidence of treatment response with mavrilimumab, an investigational fully-human monoclonal antibody that targets granulocyte macrophage colony stimulating factor receptor alpha (GM-CSFRα), in a treatment protocol in patients with severe coronavirus 2019 (COVID-19) pneumonia and hyperinflammation. The treatment protocol was conducted by Professor Lorenzo Dagna, MD, FACP, Head, Unit of Immunology, Rheumatology, Allergy and Rare Diseases IRCCS San Raffaele Scientific Institute and Vita-Salute San Raffaele University in Milan, Italy within a COVID-19 Program directed by Professor Alberto Zangrillo, Head of Department of Anesthesia and Intensive Care of the Scientific Institute San Raffaele Hospital and Professor in Anesthesiology and Intensive Care, Università Vita-Salute San Raffaele. Reference to utility of blocking GM-CSF: Zhou Y, Fu B, Zheng X, et al. Aberrant pathogenic GM-CSF+ T cells and inflammatory CD14+CD16+ monocytes in severe pulmonary syndrome patients of a new coronavirus. Pre-Print. 2020.",https://investors.kiniksa.com/news-releases/news-release-details/kiniksa-announces-early-evidence-treatment-response-mavrilimumab,5/18/2020,
108,98,1,Gimsilumab,GM-CSF,Phase 2,Roivant Sciences,mAb,,,,,"NCT04351243 Phase 2 in Respiratory Distress Syndrome Due to COVID-19 recruiting patients. March 27, 2020 press release: Roivant Sciences recently announced “they will prioritize trials of gimsilumab in patients with COVID-19 instead of a Phase 2 trial in a separate disease area which had been previously planned. Clinical trials of gimsilumab patients with COVID-19 will commence upon approval by relevant regulatory authorities.” Gimsilumab treatment has been associated with a favorable safety and tolerability profile to date. 
  On March 18, 2020, Roivant Sciences announced that it has engaged with regulators in the United States, Europe, and Asia to rapidly advance the clinical development of gimsilumab for the treatment of acute respiratory distress syndrome associated with SARS-CoV-2 infection. Gimsilumab has been tested two clinical studies, including a 4-week Phase 1 study of a subcutaneous formulation in healthy volunteers.",https://roivant.com/roivant-announces-development-of-anti-gm-csf-monoclonal-antibody-to-prevent-and-treat-acute-respiratory-distress-syndrome-ards-in-patients-with-covid-19/,5/18/2020,
109,99,1,Ixekizumab,IL-17A,Phase 2,Xiangya Hospital of Central South University,mAb,,,,,"ChiCTR2000030703 is a randomized, blinded, controlled, multicenter clinical trial to evaluate the efficacy and safety of Ixekizumab combined with conventional antiviral drugs in patients with novel coronavirus pneumonia (COVID-19)",,5/18/2020,
110,100,1,"BMS-986253, HuMax-IL8, HuMax-Inflam/MDX018",IL-8,Phase 2,Bristol-Myers Squibb,,,,,,"NCT04347226 Phase 2 in COVID-19 recruiting as of April 16, 2020. 
  Preliminary Phase 1 results reported in June 2018: BMS-986253 monotherapy is well tolerated and associated with decreases in serum IL-8 across all doses tested. Clinical trial information: NCT02536469. 
  In July 2016, BMS acquired all of the outstanding shares of Cormorant Pharmaceuticals (Cormorant), a private pharmaceutical company focused on the development of therapies for cancer and rare diseases. The acquisition provides BMS with full rights to Cormorant's lead candidate HuMax-IL8, a Phase I/II monoclonal antibody that represents a potentially complementary immuno-oncology mechanism of action to T-cell directed antibodies and co-stimulatory molecules. NCT02536469 Phase 1 study sponsored by Cormorant started in Aug 2015, completed in Nov 2016. Asset was licensed by Cormorant from Genmab in May 2012, who bought the asset from Medarex",,5/18/2020,
111,101,1,Nivolumab,PD-1,Phase 2,"Centre Leon Berard; Assistance Publique - Hôpitaux de Paris; Queen Mary Hospital, Hong Kong",mAb,,,,,"NCT04333914 Phase 2 study recruiting; 2 other Phase 2 studies not yet recruiting as of April 30, 2020",,5/18/2020,
112,102,1,APN01,SARS-CoV-2,Phase 2 pending,APEIRON Biologics,,,,,,"NCT04335136 Phase 2 study (Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19) not yet recruiting. APEIRON said April 2 it received regulatory approvals in Austria, Germany, and Denmark to initiate a Phase II clinical trial of APN01 to treat COVID-19 (NCT04335136). The trial aims to compare APN01 to placebo in up to 200 severely infected COVID-19 patients at 10 sites. The first patients are expected to be dosed shortly, according to the company. APN01 has been shown to be safe and well-tolerated in a total of 89 healthy volunteers and patients with pulmonary arterial hypertension (PAH) and ALI/ARDS in previously completed Phase I and Phase II clinical trials, Recombinant human angiotensin-converting enzyme 2 (rhACE2) developed to treat acute lung injury, acute respiratory distress syndrome, and pulmonary arterial hypertension. APN01 is designed to imitate the human enzyme ACE2 so that the virus can no longer infect the cells, as SARS-CoV-2 binds to soluble ACE2/APN01 instead of ACE2 on the cell surface. APN01 is also designed to reduce harmful inflammatory reactions in the lungs and protects against acute lung injury/acute respiratory distress syndrome (ALI/ARDS).",,5/18/2020,
113,103,1,Leronlimab (PRO-140),CCR5,Phase 2/3,CytoDyn,mAb,,,,,"Initiated on April 15, 2020, NCT04347239 is a Phase 2b/3, Randomized, Double Blind, Placebo Controlled, Adaptive Design Study to Evaluate the Efficacy and Safety of Leronlimab for Patients With Severe or Critical Coronavirus Disease 2019 (COVID-19). NCT04343651 Phase 2 study includes patients with mild to moderate disease. 
  April 01, 2020: CytoDyn Inc. announced that it has filed a second clinical trial protocol with the U.S. Food and Drug Administration (FDA) to treat severely ill COVID-19 patients with leronlimab. This trial will be conducted under the same FDA-approved IND as the Company’s recently initiated Phase 2 clinical trial to treat COVID-19 patients with mild-to-moderate indications. The new protocol for severely ill COVID-19 patients is for 342 patients, double blinded with 2:1 ratio. Patients enrolled in this trial are expected to be administered leronlimab for two weeks with the primary endpoint being the mortality rate at 14 days.
  The Company’s investigational new drug, leronlimab, has been administered to 10 severely ill patients with COVID-19 at a leading medical center in the New York City area under an emergency IND recently granted by the FDA. GCPR target. CCR5 is HIV co-receptor; antibody blocks viral entry into WBCs. CC chemokine receptor 5 (CCR5) is a seven-transmembrane, G protein-coupled receptor (GPCR) which regulates trafficking and effector functions of memory/effector T-lymphocytes, macrophages, and immature dendritic cells.",https://www.cytodyn.com/newsroom/press-releases/detail/404/cytodyn-files-a-clinical-trial-protocol-with-the-fda-to,5/18/2020,
114,104,1,Emapalumab,IFN gamma,Phase 2/3,Swedish Orphan Biovitrum,mAb,,,,,"NCT04324021 is a Phase 2/3, Randomized, Open-label, Parallel Group, 3-arm, Multicenter Study Investigating the Efficacy and Safety of Intravenous Administrations of Emapalumab, an Anti-interferon Gamma (Anti-IFNγ) Monoclonal Antibody, and Anakinra, an Interleukin-1(IL-1) Receptor Antagonist, Versus Standard of Care, in Reducing Hyper-inflammation and Respiratory Distress in Patients With SARS-CoV-2 Infection. Hyper-inflammation, caused by a cytokine storm resulting from an exaggerated response of the immune system to the presence of the virus, is considered to represent one of the most important negative prognostic factor in patients infected with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2).",,5/18/2020,
115,105,1,Sarilumab (SAR153191),IL-6R,Phase 2/3,"Regeneron, Assistance Publique - Hôpitaux de Paris",mAb,,,,,"NCT04324073 Phase 2/3 in COVID-19 recruiting; study will assess an intravenous dose of 400 mg of sarilumab in a 1 hour-infusion vs the best standard of care. The study site is in Paris, France. The estimated enrollment is 180 patients and the estimated primary completion date is March 2021. 
  Regeneron has two phase III trial to evaluate Sarilumab (SAR153191) for COVID-19: 1) NCT04327388, primary comletion in July, 2020; 2) NCT04315298, primary completion in March 2021. Sarilumab was first approved in the US in 2017, and it is currently marketed for rheumatoid arthritis in adults. As of March 27, 2020, one clinical trial of sarilumab in COVID-19 that is recruiting patients is listed on clinicaltrials.gov and 2 studies are listed as not yet recruiting. As listed on clinicaltrials.gov on April 29, 2020, 6 clinical studies of sarilumab are recruiting COVID-19 patients, 1 is active not recruiting and 2 additional studies are not yet recruiting patients.",,5/18/2020,
116,106,1,Bevacizumab,VEGF,Phase 2/3,"Qilu Hospital of Shandong University,
  Renmin Hospital of Wuhan University,
  Ialy Moriggia Pelascini Gravedona Hospital S.p.A
  Wuhan University,
  Jiangbei Union Hospital of Huazhong University of science and technology,
  Shandong Provincial Chest Hospital",mAb,,,,,"NCT04305106 is a study of Bevacizumab in Severe or Critically Severe Patients With COVID-19 Pneumonia-RCT (BEST-RCT); NCT04275414 is a Phase 2/3 study of Bevacizumab in Severe or Critical Patients With COVID-19 Pneumonia (BEST-CP). NCT04344782 Phase 2 study, sponsored by Assistance Publique - Hôpitaux de Paris, is a Cohort Multiple Randomized Controlled Trial Open-label of Immune Modulatory Drugs and Other Treatments in COVID-19 Patients (CORIMUNO-19- BEVA Trial); not yet recruiting. COVID-19 causes acute lung injury (ALI) and acute respiratory distress syndrome (ARDS) in the severe and critically severe patients. Pulmonary edema is the key detrimental feature of ALI/ARDS. Autopsy of patients died from COVID-19 reported that, pulmonary mucus exudation was severe, more obvious than SARS infection. Pulmonary CT scanning and pathological findings also suggest that pulmonary edema caused by inflammatory exudation is a distinguished feature of COVID-19. However, specific pharmacotherapy is lacking.Vascular endothelial growth factor (VEGF) is known as the most potent inducing factors to increase vascular permeability.",,5/18/2020,
117,107,1,Siltuximab,IL-6,Phase 3,"University Hospital, Ghent, A.O. Ospedale Papa Giovanni XXIII",mAb,,,,,"NCT04330638 Phase 3 study sponsored by University Hospital, Ghent and NCT04329650 Phase 2 study sponsored by Judit Pich Martínez recruiting patients. 
  April 1, 2020: EUSA Pharma announced initial preliminary findings from the Papa Giovanni XXIII Hospital sponsored SISCO (Siltuximab In Serious COVID-19) Study, based on a pre-planned data analysis on 24 March 2020. Results show over three-quarters of patients treated with siltuximab (76%, n=16) had either stable or improved disease at this interim analysis. 
  Started on March 19, 2020, NCT04322188 is an observational case-control study of the use of siltuximab in patients diagnosed with COVID-19 infection who have developed serious respiratory complications. Patients in Cohort A and Cohort B are treated with siltuximab in a non-ICU and ICU setting, respectively. Each patient will have a matched control receiving standard treatment without siltuximab. The study site is in Italy. The estimated enrollment is 50 patients and the estimated primary completion date is May 19, 2020. Siltuximab was first approved in the US in 2014, and it is currently marketed for treatment of patients with multicentric Castleman’s disease. As of March 27, 2020, one clinical trial of siltuximab in COVID-19 is listed on clinicaltrials.gov.",,5/18/2020,
